Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Months,Sales,Ville,Hour,Grouped
279338,Google Phone,1.0,600.0,11/22/19 02:45,"876 Dogwood St, Los Angeles, CA 90001",11,600.0, Los Angeles,2,"Google Phone,USB-C Charging Cable"
279387,27in FHD Monitor,1.0,149.99,11/16/19 07:04,"733 Wilson St, San Francisco, CA 94016",11,149.99, San Francisco,7,"27in FHD Monitor,AA Batteries (4-pack)"
279398,Apple Airpods Headphones,1.0,150.0,11/06/19 18:24,"202 Forest St, San Francisco, CA 94016",11,150.0, San Francisco,18,"Apple Airpods Headphones,AAA Batteries (4-pack)"
279475,iPhone,1.0,700.0,11/07/19 22:10,"631 Elm St, Los Angeles, CA 90001",11,700.0, Los Angeles,22,"iPhone,Apple Airpods Headphones"
279478,Lightning Charging Cable,1.0,14.95,11/11/19 19:50,"999 Johnson St, San Francisco, CA 94016",11,14.95, San Francisco,19,"Lightning Charging Cable,USB-C Charging Cable"
279499,Google Phone,1.0,600.0,11/24/19 13:51,"503 Maple St, Boston, MA 02215",11,600.0, Boston,13,"Google Phone,Google Phone"
279504,Vareebadd Phone,1.0,400.0,11/21/19 12:01,"114 Chestnut St, Seattle, WA 98101",11,400.0, Seattle,12,"Vareebadd Phone,USB-C Charging Cable"
279536,Google Phone,1.0,600.0,11/14/19 00:21,"509 Church St, Boston, MA 02215",11,600.0, Boston,0,"Google Phone,Wired Headphones"
279573,Lightning Charging Cable,1.0,14.95,11/19/19 17:04,"453 14th St, Portland, OR 97035",11,14.95, Portland,17,"Lightning Charging Cable,27in FHD Monitor"
279595,Google Phone,1.0,600.0,11/01/19 07:26,"74 Ridge St, Seattle, WA 98101",11,600.0, Seattle,7,"Google Phone,USB-C Charging Cable"
279605,Apple Airpods Headphones,1.0,150.0,11/20/19 12:32,"74 10th St, San Francisco, CA 94016",11,150.0, San Francisco,12,"Apple Airpods Headphones,USB-C Charging Cable"
279632,iPhone,1.0,700.0,11/26/19 14:05,"484 Hill St, San Francisco, CA 94016",11,700.0, San Francisco,14,"iPhone,Lightning Charging Cable"
279686,iPhone,1.0,700.0,11/19/19 12:00,"21 Church St, Austin, TX 73301",11,700.0, Austin,12,"iPhone,Wired Headphones"
279706,Lightning Charging Cable,1.0,14.95,11/16/19 21:45,"228 Elm St, San Francisco, CA 94016",11,14.95, San Francisco,21,"Lightning Charging Cable,Macbook Pro Laptop"
279711,iPhone,1.0,700.0,11/04/19 06:53,"11 8th St, San Francisco, CA 94016",11,700.0, San Francisco,6,"iPhone,Lightning Charging Cable,Apple Airpods Headphones"
279716,Wired Headphones,1.0,11.99,11/11/19 16:26,"189 Sunset St, Dallas, TX 75001",11,11.99, Dallas,16,"Wired Headphones,27in 4K Gaming Monitor"
279719,Lightning Charging Cable,3.0,14.95,11/14/19 18:25,"973 Lakeview St, Dallas, TX 75001",11,44.849999999999994, Dallas,18,"Lightning Charging Cable,AA Batteries (4-pack)"
279736,Bose SoundSport Headphones,1.0,99.99,11/05/19 17:02,"770 North St, Dallas, TX 75001",11,99.99, Dallas,17,"Bose SoundSport Headphones,Bose SoundSport Headphones"
279746,USB-C Charging Cable,2.0,11.95,11/06/19 18:51,"886 Church St, San Francisco, CA 94016",11,23.9, San Francisco,18,"USB-C Charging Cable,Wired Headphones"
279763,AAA Batteries (4-pack),1.0,2.99,11/27/19 13:12,"522 Pine St, San Francisco, CA 94016",11,2.99, San Francisco,13,"AAA Batteries (4-pack),AAA Batteries (4-pack)"
279827,Apple Airpods Headphones,2.0,150.0,11/15/19 10:37,"573 7th St, New York City, NY 10001",11,300.0, New York City,10,"Apple Airpods Headphones,AA Batteries (4-pack)"
279836,Bose SoundSport Headphones,1.0,99.99,11/09/19 23:16,"742 Center St, Atlanta, GA 30301",11,99.99, Atlanta,23,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
279861,Google Phone,1.0,600.0,11/05/19 22:55,"332 Willow St, New York City, NY 10001",11,600.0, New York City,22,"Google Phone,USB-C Charging Cable"
279862,AAA Batteries (4-pack),3.0,2.99,11/24/19 13:01,"156 River St, San Francisco, CA 94016",11,8.97, San Francisco,13,"AAA Batteries (4-pack),ThinkPad Laptop"
279874,AA Batteries (4-pack),2.0,3.84,11/01/19 19:50,"166 Elm St, Los Angeles, CA 90001",11,7.68, Los Angeles,19,"AA Batteries (4-pack),Wired Headphones"
279883,20in Monitor,1.0,109.99,11/21/19 00:20,"35 Hill St, Los Angeles, CA 90001",11,109.99, Los Angeles,0,"20in Monitor,USB-C Charging Cable"
279889,Bose SoundSport Headphones,1.0,99.99,11/18/19 19:35,"499 8th St, Atlanta, GA 30301",11,99.99, Atlanta,19,"Bose SoundSport Headphones,Bose SoundSport Headphones"
279893,Google Phone,1.0,600.0,11/23/19 21:00,"226 Elm St, San Francisco, CA 94016",11,600.0, San Francisco,21,"Google Phone,USB-C Charging Cable"
279952,Bose SoundSport Headphones,1.0,99.99,11/13/19 08:27,"810 8th St, Seattle, WA 98101",11,99.99, Seattle,8,"Bose SoundSport Headphones,27in FHD Monitor"
279974,iPhone,1.0,700.0,11/11/19 08:20,"300 Maple St, San Francisco, CA 94016",11,700.0, San Francisco,8,"iPhone,Wired Headphones"
279988,Google Phone,1.0,600.0,11/30/19 15:48,"251 10th St, Atlanta, GA 30301",11,600.0, Atlanta,15,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
280053,Vareebadd Phone,1.0,400.0,11/27/19 00:32,"825 Johnson St, San Francisco, CA 94016",11,400.0, San Francisco,0,"Vareebadd Phone,USB-C Charging Cable"
280055,iPhone,1.0,700.0,11/18/19 08:43,"353 Hill St, New York City, NY 10001",11,700.0, New York City,8,"iPhone,Lightning Charging Cable"
280142,iPhone,1.0,700.0,11/02/19 15:12,"620 5th St, Los Angeles, CA 90001",11,700.0, Los Angeles,15,"iPhone,Lightning Charging Cable"
280249,Google Phone,1.0,600.0,11/09/19 18:36,"156 Washington St, San Francisco, CA 94016",11,600.0, San Francisco,18,"Google Phone,USB-C Charging Cable"
280317,AA Batteries (4-pack),1.0,3.84,11/03/19 22:39,"722 Highland St, Los Angeles, CA 90001",11,3.84, Los Angeles,22,"AA Batteries (4-pack),20in Monitor"
280386,Vareebadd Phone,1.0,400.0,11/21/19 13:01,"60 West St, Los Angeles, CA 90001",11,400.0, Los Angeles,13,"Vareebadd Phone,Wired Headphones"
280404,Bose SoundSport Headphones,1.0,99.99,11/10/19 20:44,"732 9th St, San Francisco, CA 94016",11,99.99, San Francisco,20,"Bose SoundSport Headphones,Flatscreen TV"
280479,USB-C Charging Cable,1.0,11.95,11/16/19 15:09,"775 11th St, New York City, NY 10001",11,11.95, New York City,15,"USB-C Charging Cable,AA Batteries (4-pack)"
280506,iPhone,1.0,700.0,11/06/19 11:13,"673 Forest St, New York City, NY 10001",11,700.0, New York City,11,"iPhone,Apple Airpods Headphones"
280511,iPhone,1.0,700.0,11/11/19 14:28,"194 Walnut St, Dallas, TX 75001",11,700.0, Dallas,14,"iPhone,Wired Headphones"
280521,Vareebadd Phone,1.0,400.0,11/28/19 18:34,"370 Cedar St, Seattle, WA 98101",11,400.0, Seattle,18,"Vareebadd Phone,USB-C Charging Cable"
280592,AAA Batteries (4-pack),1.0,2.99,11/06/19 00:26,"475 Center St, Los Angeles, CA 90001",11,2.99, Los Angeles,0,"AAA Batteries (4-pack),Wired Headphones"
280640,Vareebadd Phone,1.0,400.0,11/26/19 12:33,"244 Lakeview St, Austin, TX 73301",11,400.0, Austin,12,"Vareebadd Phone,Wired Headphones"
280647,iPhone,1.0,700.0,11/27/19 09:02,"478 12th St, New York City, NY 10001",11,700.0, New York City,9,"iPhone,Lightning Charging Cable,Apple Airpods Headphones"
280649,AA Batteries (4-pack),1.0,3.84,11/22/19 09:14,"893 7th St, San Francisco, CA 94016",11,3.84, San Francisco,9,"AA Batteries (4-pack),Apple Airpods Headphones"
280681,iPhone,1.0,700.0,11/26/19 11:02,"613 Wilson St, Dallas, TX 75001",11,700.0, Dallas,11,"iPhone,Lightning Charging Cable,Wired Headphones"
280740,iPhone,1.0,700.0,11/12/19 14:07,"341 Lake St, Dallas, TX 75001",11,700.0, Dallas,14,"iPhone,Apple Airpods Headphones"
280764,AAA Batteries (4-pack),3.0,2.99,11/21/19 17:26,"556 Spruce St, Los Angeles, CA 90001",11,8.97, Los Angeles,17,"AAA Batteries (4-pack),Wired Headphones"
280769,27in FHD Monitor,1.0,149.99,11/05/19 14:01,"102 9th St, Seattle, WA 98101",11,149.99, Seattle,14,"27in FHD Monitor,20in Monitor"
280783,iPhone,1.0,700.0,11/18/19 20:41,"475 10th St, Seattle, WA 98101",11,700.0, Seattle,20,"iPhone,Lightning Charging Cable"
280851,Wired Headphones,1.0,11.99,11/03/19 14:18,"749 Main St, Los Angeles, CA 90001",11,11.99, Los Angeles,14,"Wired Headphones,USB-C Charging Cable"
280883,Lightning Charging Cable,1.0,14.95,11/06/19 10:43,"635 Main St, Boston, MA 02215",11,14.95, Boston,10,"Lightning Charging Cable,AA Batteries (4-pack)"
280903,Google Phone,1.0,600.0,11/24/19 22:00,"184 Elm St, New York City, NY 10001",11,600.0, New York City,22,"Google Phone,Wired Headphones"
280935,AAA Batteries (4-pack),1.0,2.99,11/10/19 23:38,"843 Madison St, Atlanta, GA 30301",11,2.99, Atlanta,23,"AAA Batteries (4-pack),USB-C Charging Cable"
280999,27in FHD Monitor,1.0,149.99,11/10/19 13:55,"181 West St, Los Angeles, CA 90001",11,149.99, Los Angeles,13,"27in FHD Monitor,Google Phone"
281012,Bose SoundSport Headphones,1.0,99.99,11/02/19 01:27,"612 Elm St, Seattle, WA 98101",11,99.99, Seattle,1,"Bose SoundSport Headphones,Google Phone"
281037,USB-C Charging Cable,1.0,11.95,11/22/19 19:54,"220 8th St, San Francisco, CA 94016",11,11.95, San Francisco,19,"USB-C Charging Cable,iPhone"
281102,iPhone,1.0,700.0,11/28/19 22:09,"442 Adams St, Atlanta, GA 30301",11,700.0, Atlanta,22,"iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)"
281110,iPhone,1.0,700.0,11/29/19 20:58,"966 Maple St, Boston, MA 02215",11,700.0, Boston,20,"iPhone,Apple Airpods Headphones"
281116,iPhone,1.0,700.0,11/20/19 12:31,"348 14th St, Portland, OR 97035",11,700.0, Portland,12,"iPhone,Lightning Charging Cable"
281166,Vareebadd Phone,1.0,400.0,11/14/19 13:27,"738 Johnson St, Austin, TX 73301",11,400.0, Austin,13,"Vareebadd Phone,USB-C Charging Cable"
281179,iPhone,1.0,700.0,11/25/19 10:25,"862 River St, San Francisco, CA 94016",11,700.0, San Francisco,10,"iPhone,Lightning Charging Cable"
281384,AA Batteries (4-pack),1.0,3.84,11/15/19 12:10,"340 Cherry St, Portland, ME 04101",11,3.84, Portland,12,"AA Batteries (4-pack),iPhone"
281389,Lightning Charging Cable,1.0,14.95,11/22/19 12:28,"578 5th St, Los Angeles, CA 90001",11,14.95, Los Angeles,12,"Lightning Charging Cable,Lightning Charging Cable"
281402,Google Phone,1.0,600.0,11/28/19 10:57,"497 Pine St, San Francisco, CA 94016",11,600.0, San Francisco,10,"Google Phone,Wired Headphones"
281414,Google Phone,1.0,600.0,11/08/19 16:23,"103 Center St, New York City, NY 10001",11,600.0, New York City,16,"Google Phone,USB-C Charging Cable"
281416,Google Phone,1.0,600.0,11/06/19 14:11,"748 Church St, Austin, TX 73301",11,600.0, Austin,14,"Google Phone,Bose SoundSport Headphones"
281436,iPhone,1.0,700.0,11/08/19 12:30,"583 North St, San Francisco, CA 94016",11,700.0, San Francisco,12,"iPhone,Wired Headphones"
281497,iPhone,1.0,700.0,11/26/19 12:10,"640 West St, San Francisco, CA 94016",11,700.0, San Francisco,12,"iPhone,Apple Airpods Headphones"
281515,iPhone,1.0,700.0,11/11/19 17:48,"358 Madison St, San Francisco, CA 94016",11,700.0, San Francisco,17,"iPhone,Apple Airpods Headphones"
281520,iPhone,1.0,700.0,11/12/19 10:56,"573 Wilson St, San Francisco, CA 94016",11,700.0, San Francisco,10,"iPhone,Lightning Charging Cable"
281536,USB-C Charging Cable,1.0,11.95,11/28/19 21:54,"84 Church St, New York City, NY 10001",11,11.95, New York City,21,"USB-C Charging Cable,Wired Headphones"
281581,Wired Headphones,1.0,11.99,11/04/19 20:11,"819 5th St, New York City, NY 10001",11,11.99, New York City,20,"Wired Headphones,Wired Headphones"
281590,iPhone,1.0,700.0,11/13/19 06:01,"315 North St, Boston, MA 02215",11,700.0, Boston,6,"iPhone,Wired Headphones"
281635,iPhone,1.0,700.0,11/13/19 14:40,"505 Adams St, San Francisco, CA 94016",11,700.0, San Francisco,14,"iPhone,Lightning Charging Cable"
281649,AAA Batteries (4-pack),1.0,2.99,11/18/19 07:29,"210 Lincoln St, Seattle, WA 98101",11,2.99, Seattle,7,"AAA Batteries (4-pack),Apple Airpods Headphones"
281672,iPhone,1.0,700.0,11/12/19 03:18,"780 Walnut St, San Francisco, CA 94016",11,700.0, San Francisco,3,"iPhone,Lightning Charging Cable,Wired Headphones"
281676,Google Phone,1.0,600.0,11/16/19 13:23,"418 14th St, Portland, OR 97035",11,600.0, Portland,13,"Google Phone,USB-C Charging Cable"
281680,iPhone,1.0,700.0,11/20/19 21:26,"319 Jefferson St, Portland, ME 04101",11,700.0, Portland,21,"iPhone,Lightning Charging Cable"
281690,USB-C Charging Cable,1.0,11.95,11/04/19 22:53,"615 4th St, New York City, NY 10001",11,11.95, New York City,22,"USB-C Charging Cable,Wired Headphones"
281692,iPhone,1.0,700.0,11/20/19 11:24,"739 8th St, New York City, NY 10001",11,700.0, New York City,11,"iPhone,Lightning Charging Cable"
281700,Vareebadd Phone,1.0,400.0,11/27/19 20:43,"27 Elm St, San Francisco, CA 94016",11,400.0, San Francisco,20,"Vareebadd Phone,USB-C Charging Cable"
281717,iPhone,1.0,700.0,11/22/19 12:17,"831 Wilson St, San Francisco, CA 94016",11,700.0, San Francisco,12,"iPhone,Apple Airpods Headphones"
281728,Google Phone,1.0,600.0,11/24/19 11:07,"564 Sunset St, Seattle, WA 98101",11,600.0, Seattle,11,"Google Phone,USB-C Charging Cable,Wired Headphones"
281743,Wired Headphones,1.0,11.99,11/23/19 13:35,"384 Center St, Los Angeles, CA 90001",11,11.99, Los Angeles,13,"Wired Headphones,AA Batteries (4-pack)"
281850,27in FHD Monitor,1.0,149.99,11/05/19 06:42,"423 Highland St, Atlanta, GA 30301",11,149.99, Atlanta,6,"27in FHD Monitor,27in FHD Monitor"
281886,USB-C Charging Cable,1.0,11.95,11/16/19 16:19,"791 Meadow St, Boston, MA 02215",11,11.95, Boston,16,"USB-C Charging Cable,USB-C Charging Cable"
281961,iPhone,1.0,700.0,11/21/19 19:22,"620 Elm St, San Francisco, CA 94016",11,700.0, San Francisco,19,"iPhone,Lightning Charging Cable"
282079,iPhone,1.0,700.0,11/02/19 15:00,"522 Hill St, San Francisco, CA 94016",11,700.0, San Francisco,15,"iPhone,Wired Headphones"
282089,AAA Batteries (4-pack),1.0,2.99,11/08/19 16:41,"488 12th St, Portland, OR 97035",11,2.99, Portland,16,"AAA Batteries (4-pack),AAA Batteries (4-pack)"
282100,Google Phone,1.0,600.0,11/24/19 09:47,"574 13th St, San Francisco, CA 94016",11,600.0, San Francisco,9,"Google Phone,Wired Headphones"
282105,iPhone,1.0,700.0,11/19/19 17:40,"800 Johnson St, Dallas, TX 75001",11,700.0, Dallas,17,"iPhone,Lightning Charging Cable"
282114,Lightning Charging Cable,1.0,14.95,11/25/19 12:08,"781 8th St, Los Angeles, CA 90001",11,14.95, Los Angeles,12,"Lightning Charging Cable,27in 4K Gaming Monitor"
282137,Lightning Charging Cable,1.0,14.95,11/13/19 14:40,"197 13th St, Los Angeles, CA 90001",11,14.95, Los Angeles,14,"Lightning Charging Cable,Lightning Charging Cable"
282142,AA Batteries (4-pack),1.0,3.84,11/29/19 23:33,"791 Chestnut St, Seattle, WA 98101",11,3.84, Seattle,23,"AA Batteries (4-pack),Flatscreen TV"
282170,Vareebadd Phone,1.0,400.0,11/01/19 21:58,"365 Lakeview St, San Francisco, CA 94016",11,400.0, San Francisco,21,"Vareebadd Phone,USB-C Charging Cable"
282194,Google Phone,1.0,600.0,11/27/19 12:55,"141 Center St, Dallas, TX 75001",11,600.0, Dallas,12,"Google Phone,Bose SoundSport Headphones"
282205,Wired Headphones,1.0,11.99,11/12/19 23:22,"930 10th St, Los Angeles, CA 90001",11,11.99, Los Angeles,23,"Wired Headphones,iPhone"
282244,iPhone,1.0,700.0,11/26/19 13:29,"536 Dogwood St, San Francisco, CA 94016",11,700.0, San Francisco,13,"iPhone,Lightning Charging Cable"
282247,iPhone,1.0,700.0,11/03/19 13:46,"784 Walnut St, Dallas, TX 75001",11,700.0, Dallas,13,"iPhone,Lightning Charging Cable"
282250,Lightning Charging Cable,1.0,14.95,11/04/19 12:53,"582 1st St, Los Angeles, CA 90001",11,14.95, Los Angeles,12,"Lightning Charging Cable,USB-C Charging Cable"
282281,Lightning Charging Cable,1.0,14.95,11/25/19 17:34,"253 7th St, San Francisco, CA 94016",11,14.95, San Francisco,17,"Lightning Charging Cable,AA Batteries (4-pack)"
282283,Google Phone,1.0,600.0,11/15/19 07:19,"794 Walnut St, Atlanta, GA 30301",11,600.0, Atlanta,7,"Google Phone,iPhone"
282303,Lightning Charging Cable,1.0,14.95,11/25/19 18:50,"990 Highland St, Seattle, WA 98101",11,14.95, Seattle,18,"Lightning Charging Cable,27in 4K Gaming Monitor"
282307,Vareebadd Phone,1.0,400.0,11/03/19 21:38,"297 6th St, Austin, TX 73301",11,400.0, Austin,21,"Vareebadd Phone,USB-C Charging Cable,Bose SoundSport Headphones"
282309,Google Phone,1.0,600.0,11/07/19 09:19,"875 Main St, Los Angeles, CA 90001",11,600.0, Los Angeles,9,"Google Phone,USB-C Charging Cable"
282312,Lightning Charging Cable,1.0,14.95,11/25/19 20:13,"821 Highland St, New York City, NY 10001",11,14.95, New York City,20,"Lightning Charging Cable,AA Batteries (4-pack)"
282320,iPhone,1.0,700.0,11/24/19 11:41,"482 Spruce St, Dallas, TX 75001",11,700.0, Dallas,11,"iPhone,Lightning Charging Cable"
282406,Google Phone,1.0,600.0,11/02/19 13:47,"63 Wilson St, Seattle, WA 98101",11,600.0, Seattle,13,"Google Phone,USB-C Charging Cable,Wired Headphones"
282464,Macbook Pro Laptop,1.0,1700.0,11/30/19 13:50,"297 Cedar St, San Francisco, CA 94016",11,1700.0, San Francisco,13,"Macbook Pro Laptop,USB-C Charging Cable"
282470,iPhone,1.0,700.0,11/09/19 06:07,"464 Jefferson St, Los Angeles, CA 90001",11,700.0, Los Angeles,6,"iPhone,Apple Airpods Headphones"
282476,Vareebadd Phone,1.0,400.0,11/01/19 15:52,"666 Willow St, Portland, OR 97035",11,400.0, Portland,15,"Vareebadd Phone,USB-C Charging Cable"
282529,27in FHD Monitor,1.0,149.99,11/24/19 22:56,"307 Cedar St, San Francisco, CA 94016",11,149.99, San Francisco,22,"27in FHD Monitor,AAA Batteries (4-pack)"
282570,USB-C Charging Cable,1.0,11.95,11/23/19 19:33,"127 Center St, San Francisco, CA 94016",11,11.95, San Francisco,19,"USB-C Charging Cable,27in FHD Monitor"
282582,Google Phone,1.0,600.0,11/06/19 20:02,"728 4th St, Dallas, TX 75001",11,600.0, Dallas,20,"Google Phone,Bose SoundSport Headphones"
282596,Google Phone,1.0,600.0,11/25/19 06:18,"197 Maple St, Boston, MA 02215",11,600.0, Boston,6,"Google Phone,USB-C Charging Cable"
282599,iPhone,1.0,700.0,11/06/19 13:44,"83 14th St, Los Angeles, CA 90001",11,700.0, Los Angeles,13,"iPhone,Wired Headphones"
282632,Vareebadd Phone,1.0,400.0,11/16/19 13:15,"917 Dogwood St, Los Angeles, CA 90001",11,400.0, Los Angeles,13,"Vareebadd Phone,Bose SoundSport Headphones"
282645,Macbook Pro Laptop,1.0,1700.0,11/05/19 16:06,"707 Washington St, San Francisco, CA 94016",11,1700.0, San Francisco,16,"Macbook Pro Laptop,27in FHD Monitor"
282648,iPhone,1.0,700.0,11/29/19 12:18,"959 Cedar St, Atlanta, GA 30301",11,700.0, Atlanta,12,"iPhone,Wired Headphones"
282656,Google Phone,1.0,600.0,11/21/19 14:57,"907 5th St, San Francisco, CA 94016",11,600.0, San Francisco,14,"Google Phone,Bose SoundSport Headphones"
282662,34in Ultrawide Monitor,1.0,379.99,11/02/19 01:37,"778 6th St, Seattle, WA 98101",11,379.99, Seattle,1,"34in Ultrawide Monitor,AAA Batteries (4-pack)"
282689,iPhone,1.0,700.0,11/17/19 16:28,"27 North St, San Francisco, CA 94016",11,700.0, San Francisco,16,"iPhone,Lightning Charging Cable"
282726,Flatscreen TV,1.0,300.0,11/14/19 18:48,"690 6th St, San Francisco, CA 94016",11,300.0, San Francisco,18,"Flatscreen TV,Google Phone"
282755,Google Phone,1.0,600.0,11/14/19 19:09,"690 Cedar St, Portland, OR 97035",11,600.0, Portland,19,"Google Phone,USB-C Charging Cable"
282787,Vareebadd Phone,1.0,400.0,11/23/19 12:07,"805 Maple St, New York City, NY 10001",11,400.0, New York City,12,"Vareebadd Phone,USB-C Charging Cable"
282799,Google Phone,1.0,600.0,11/23/19 11:35,"123 Spruce St, San Francisco, CA 94016",11,600.0, San Francisco,11,"Google Phone,USB-C Charging Cable"
282819,iPhone,1.0,700.0,11/01/19 23:58,"531 Pine St, San Francisco, CA 94016",11,700.0, San Francisco,23,"iPhone,Lightning Charging Cable"
282830,iPhone,1.0,700.0,11/02/19 22:58,"165 Wilson St, Boston, MA 02215",11,700.0, Boston,22,"iPhone,Lightning Charging Cable"
282845,iPhone,1.0,700.0,11/27/19 02:00,"218 Maple St, Boston, MA 02215",11,700.0, Boston,2,"iPhone,Apple Airpods Headphones"
282890,AAA Batteries (4-pack),3.0,2.99,11/22/19 11:39,"392 Maple St, Seattle, WA 98101",11,8.97, Seattle,11,"AAA Batteries (4-pack),Lightning Charging Cable"
282926,AAA Batteries (4-pack),2.0,2.99,11/02/19 01:51,"752 Lakeview St, Portland, OR 97035",11,5.98, Portland,1,"AAA Batteries (4-pack),ThinkPad Laptop"
282940,iPhone,1.0,700.0,11/16/19 12:15,"941 14th St, Los Angeles, CA 90001",11,700.0, Los Angeles,12,"iPhone,Lightning Charging Cable"
283005,Google Phone,1.0,600.0,11/29/19 21:11,"506 Highland St, New York City, NY 10001",11,600.0, New York City,21,"Google Phone,USB-C Charging Cable"
283016,iPhone,1.0,700.0,11/02/19 16:07,"579 6th St, San Francisco, CA 94016",11,700.0, San Francisco,16,"iPhone,Lightning Charging Cable,AA Batteries (4-pack)"
283047,27in FHD Monitor,1.0,149.99,11/06/19 19:14,"625 Wilson St, Portland, OR 97035",11,149.99, Portland,19,"27in FHD Monitor,ThinkPad Laptop"
283100,Google Phone,1.0,600.0,11/09/19 13:10,"137 Johnson St, Seattle, WA 98101",11,600.0, Seattle,13,"Google Phone,USB-C Charging Cable"
283232,AAA Batteries (4-pack),1.0,2.99,11/07/19 08:49,"113 13th St, Seattle, WA 98101",11,2.99, Seattle,8,"AAA Batteries (4-pack),USB-C Charging Cable"
283238,Lightning Charging Cable,1.0,14.95,11/19/19 09:37,"95 Hill St, Boston, MA 02215",11,14.95, Boston,9,"Lightning Charging Cable,Lightning Charging Cable"
283248,iPhone,1.0,700.0,11/05/19 11:13,"378 Jefferson St, San Francisco, CA 94016",11,700.0, San Francisco,11,"iPhone,Lightning Charging Cable"
283253,Google Phone,1.0,600.0,11/02/19 16:22,"216 Cherry St, New York City, NY 10001",11,600.0, New York City,16,"Google Phone,USB-C Charging Cable"
283264,Google Phone,1.0,600.0,11/15/19 21:56,"556 Dogwood St, San Francisco, CA 94016",11,600.0, San Francisco,21,"Google Phone,USB-C Charging Cable"
283275,Google Phone,1.0,600.0,11/11/19 11:16,"358 Ridge St, Austin, TX 73301",11,600.0, Austin,11,"Google Phone,USB-C Charging Cable"
283278,Apple Airpods Headphones,1.0,150.0,11/16/19 06:36,"221 Spruce St, Boston, MA 02215",11,150.0, Boston,6,"Apple Airpods Headphones,Lightning Charging Cable"
